1. 차이검정,변수(점수/만족도/맛…)의 차이,empty
empty,집단/요인/시간,예시
1) One sample t,집단 1 ,비전공학생의 소프트웨어 교육 효과
2) independent samles t,집단 2,남학생/여학생 성적 검정
3) paired Samples t,시간 2,(중간고사 전& 후) 소프트웨어 교육 효과
"4) one way ANOVA 
(analysis of variation) ",집단 1을 분산,"1학년, 2학년, 3/학년 소프트웨어 교육 효과"
5) two way ANOVA ,집단 2개 를 분산,"[1학년, 2학년, 3/4학년] + [비전공학생들, 전공학생들] 소프트웨어 교육 효과"
6) Repeated Measured ANOVA,시간 3 이상,시간축이 3개 이상인 소프트웨어 교육 효과
7) Two way Measured ANOVA,5)+6),5)+6)
2. 관계검정,변수 간의 관계,empty
empty, 특성,예시
1) 교차분석,"명목 범주형 변수 2개
range"," two way ANOVA (analysis of variation)
(연속데이터)
백화점 방문횟수의 변동(줄다,늘다, 그대로다)
나이(20대,30대…)"
2) 상관분석 ,"이산형 변수 2개
static"," 1:1, 키가 크면 몸무게가 많이 나간다
연봉/학력
연봉/근태"
3) 회귀분석 ,"연속형 변수 n개
range","1:1 공부시간이 길어질수록 성적이 오른다.
Y=ax+b (y:점수, x:공부시간) 
1:2 공부시간이 길고, 밥을 많이 먹을수록 성적이 오른다(y:점수,x_1:공부시간, x_2:밥먹은횟수)
y=ax_1+bx_2+c"
,,